type,niveau,categorie,secteur,label,parent,value_mmdh,is_total,year,source
depense,2,fonctionnement,Économique,MINISTERE DE L'ECONOMIE ET DES FINANCES,fonctionnement,5.8003,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Économique,MINISTERE DE L'ECONOMIE ET DES FINANCES,investissement,0.6162,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Économique,MINISTERE DE L'ECONOMIE ET DES FINANCES- Charges communes,fonctionnement,45.453,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Économique,MINISTERE DE L'ECONOMIE ET DES FINANCES- Charges communes,investissement,44.082,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Économique,"MINISTERE DE L'ECONOMIE ET DES FINANCES-REMBOURSEMENTS, DÉGRÈVEMENTS ET RESTITUTIONS, FISCAUX",fonctionnement,9.6328,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Social,"MINISTERE DE L'EDUCATION NATIONALE, DU PRESCOLAIRE ET DES SPORTS",fonctionnement,91.0077,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Social,"MINISTERE DE L'EDUCATION NATIONALE, DU PRESCOLAIRE ET DES SPORTS",investissement,13.3581,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Social,"MINISTERE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE SCIENTIFIQUE ET DE L'INNOVATION",fonctionnement,15.5228,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Social,"MINISTERE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE SCIENTIFIQUE ET DE L'INNOVATION",investissement,2.7318,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Infra,MINISTERE DE L'EQUIPEMENT ET DE L'EAU,fonctionnement,1.8015,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Infra,MINISTERE DE L'EQUIPEMENT ET DE L'EAU,investissement,58.7664,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Social,"MINISTERE DE L'INCLUSION ECONOMIQUE, DE LA PETITE ENTREPRISE, DE L'EMPLOI ET DES COMPETENCES",fonctionnement,1.7981,False,2026,Note-presentation_Fr p.164
depense,2,investissement,Social,"MINISTERE DE L'INCLUSION ECONOMIQUE, DE LA PETITE ENTREPRISE, DE L'EMPLOI ET DES COMPETENCES",investissement,0.6949,False,2026,Note-presentation_Fr p.164
depense,2,fonctionnement,Économique,MINISTERE DE L'INDUSTRIE ET DU COMMERCE,fonctionnement,0.7008,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Économique,MINISTERE DE L'INDUSTRIE ET DU COMMERCE,investissement,1.5089,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Souveraineté,MINISTERE DE L'INTERIEUR,fonctionnement,45.1999,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Souveraineté,MINISTERE DE L'INTERIEUR,investissement,9.6668,False,2026,Note-presentation_Fr p.163
depense,2,fonctionnement,Social,"MINISTERE DE LA JEUNESSE, DE LA CULTURE ET DE LA COMMUNICATION",fonctionnement,3.7404,False,2026,Note-presentation_Fr p.163
depense,2,investissement,Social,"MINISTERE DE LA JEUNESSE, DE LA CULTURE ET DE LA COMMUNICATION",investissement,2.8618,False,2026,Note-presentation_Fr p.163
