label,valeur_mmdh,contexte,source
recettes_total_plf2026,421.33,Total des recettes ordinaires du Budget Général PLF 2026,BCPLF2026 p.14 (texte brut)
depenses_total_plf2026,527.65,Total des dépenses du Budget Général PLF 2026,BCPLF2026 p.14 (texte brut)
