designation,lf_2025_mmdh,plf_2026_mmdh,variation_pct,source
1- Comptes d'affectation spéciale,150.9816,154.5862,2.39,Note-presentation_Fr p.32
2- Comptes d'adhésion aux organismes internationaux,,,,Note-presentation_Fr p.32
3- Comptes d'opérations monétaires,0.15,0.15,,Note-presentation_Fr p.32
4- Comptes de financement,0.0137,0.007,-48.99,Note-presentation_Fr p.32
5- Comptes de dépenses sur dotations,10.8005,11.4905,6.39,Note-presentation_Fr p.32
Total,161.9457,166.2337,2.65,Note-presentation_Fr p.32
