ministere,secteur,is_total,personnel_mmdh,materiel_mmdh,fonctionnement_mmdh,invest_cp_mmdh,invest_ce_mmdh,invest_total_mmdh,total_mmdh,source
"MINISTERE DE L'ENSEIGNEMENT SUPERIEUR, DE LA RECHERCHE SCIENTIFIQUE ET DE L'INNOVATION",Social,False,10.5403,4.9825,15.5228,1.7918,0.94,2.7318,18.2546,Note-presentation_Fr p.163
MINISTERE DE L'EQUIPEMENT ET DE L'EAU,Infra,False,1.1236,0.6779,1.8015,18.3181,40.4483,58.7664,60.5679,Note-presentation_Fr p.163
"MINISTERE DE L'INCLUSION ECONOMIQUE, DE LA PETITE ENTREPRISE, DE L'EMPLOI ET DES COMPETENCES",Social,False,0.3882,1.4099,1.7981,0.5314,0.1635,0.6949,2.493,Note-presentation_Fr p.164
MINISTERE DE L'INDUSTRIE ET DU COMMERCE,Économique,False,0.2706,0.4302,0.7008,1.468,0.0409,1.5089,2.2097,Note-presentation_Fr p.163
MINISTERE DE L'INTERIEUR,Souveraineté,False,39.8328,5.3672,45.1999,5.684,3.9828,9.6668,54.8667,Note-presentation_Fr p.163
"MINISTERE DE LA JEUNESSE, DE LA CULTURE ET DE LA COMMUNICATION",Social,False,0.9544,2.7861,3.7404,2.3468,0.515,2.8618,6.6022,Note-presentation_Fr p.163
MINISTERE DE LA JUSTICE,Souveraineté,False,4.1209,0.3764,4.4974,0.2325,0.22,0.4525,4.9499,Note-presentation_Fr p.163
MINISTERE DE LA SANTE ET DE LA PROTECTION SOCIALE,Social,False,16.4228,11.4361,27.8589,14.4987,12.6851,27.1838,55.0427,Note-presentation_Fr p.163
"MINISTERE DE LA SOLIDARITÉ, DE L'INSERTION SOCIALE ET DE LA FAMILLE",Social,False,0.1108,0.7271,0.8379,0.3958,,0.3958,1.2337,Note-presentation_Fr p.164
MINISTERE DE LA TRANSITION ENERGETIQUE ET DU DEVELOPPEMENT DURABLE,Infra,False,0.2653,0.3523,0.6176,0.1903,0.027,0.2173,0.8349,Note-presentation_Fr p.163
"MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DE L'INVESTISSEMENT, DE LA CONVERGENCE ET DE L'EVALUATION DES POLITIQUES PUBLIQUES",Économique,False,0.0396,0.3546,0.3941,3.452,0.002,3.454,3.8481,Note-presentation_Fr p.163
MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DE LA TRANSITION NUMERIQUE ET DE LA REFORME DE L'ADMINISRATION,Infra,False,0.1079,0.1433,0.2512,1.5792,,1.5792,1.8304,Note-presentation_Fr p.164
MINISTERE DELEGUE AUPRES DU CHEF DU GOUVERNEMENT CHARGE DES RELATIONS AVEC LE PARLEMENT,Souveraineté,False,0.0522,0.0424,0.0946,0.0333,,0.0333,0.1279,Note-presentation_Fr p.164
"MINISTERE DES AFFAIRES ÉTRANGÈRES, DE LA COOPÉRATION AFRICAINE ET DES MAROCAINS RÉSIDANT A L'ETRANGER",Souveraineté,False,3.0414,1.6234,4.6648,0.44,0.04,0.48,5.1448,Note-presentation_Fr p.163
MINISTERE DES HABOUS ET DES AFFAIRES ISLAMIQUES,Souveraineté,False,1.537,4.7348,6.2719,1.0302,0.9,1.9302,8.2021,Note-presentation_Fr p.163
"MINISTERE DU TOURISME, DE L'ARTISANAT ET DE L'ECONOMIE SOCIALE ET SOLIDAIRE",Économique,False,0.3163,0.3032,0.6195,2.0053,0.057,2.0623,2.6818,Note-presentation_Fr p.163
MINISTERE DU TRANSPORT ET DE LA LOGISTIQUE,Infra,False,0.2209,0.1293,0.3502,1.7761,0.007,1.7831,2.1333,Note-presentation_Fr p.163
SA MAJESTE LE ROI,Souveraineté,False,0.0263,0.5172,0.5435,,,,0.5435,Note-presentation_Fr p.163
SECRETARIAT GENERAL DU GOUVERNEMENT,Autre,False,0.1257,0.0347,0.1604,0.015,,0.015,0.1754,Note-presentation_Fr p.163
Total,,True,195.3311,93.6738,347.4907,136.1068,79.5066,215.6134,563.1041,Note-presentation_Fr p.164
